Timestamp                       Thread     Type        Activity             PID    TTL  
2021-02-08 19:26:27.885630+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[17] to com.apple.driver.AppleACPIPlatform
2021-02-08 19:26:27.885631+0800 0xa3b      Default     0x0                  0      0    kernel: PMRD: disk_sync_callout ps=4
2021-02-08 19:26:27.885633+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[18] to com.apple.iokit.IOPCIFamily
2021-02-08 19:26:27.885635+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[19] to com.apple.driver.AppleSMC
2021-02-08 19:26:27.885637+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[20] to com.apple.iokit.IOHIDFamily
2021-02-08 19:26:27.885638+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[21] to com.apple.iokit.IONetworkingFamily
2021-02-08 19:26:27.885640+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[22] to com.apple.iokit.IOStorageFamily
2021-02-08 19:26:27.885646+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[23] to com.apple.iokit.IOStorageFamily
2021-02-08 19:26:27.885648+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[24] to com.apple.iokit.IOStorageFamily
2021-02-08 19:26:27.885651+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[25] to com.apple.driver.IOPlatformPluginLegacy
2021-02-08 19:26:27.885652+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[26] to com.apple.iokit.IOGraphicsFamily
2021-02-08 19:26:27.885654+0800 0x74       Default     0x0                  0      0    kernel: (IOGraphicsFamily) GTrace synchronization point 173
2021-02-08 19:26:27.885656+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[27] to com.apple.driver.AppleGraphicsDevicePolicy
2021-02-08 19:26:27.885658+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x12 msgType 0xe0000340 detail 0x00015f90
2021-02-08 19:26:27.885661+0800 0x74       Default     0x0                  0      0    kernel: PMRD: Clamshell disabled
2021-02-08 19:26:27.885670+0800 0x74       Debug       0x0                  0      0    kernel: (IOHIDFamily) IOHIDLibUserClient:0x100000600 message: 0xe0000200 from: 0x1000003a6
2021-02-08 19:26:27.885673+0800 0x74       Debug       0x0                  0      0    kernel: (IOHIDFamily) IOHIDLibUserClient:0x100000600 message: 0xe0000210 from: 0x1000003a6
2021-02-08 19:26:27.885957+0800 0x1d2      Default     0x0                  0      0    kernel: DK: allowPowerChange
2021-02-08 19:26:27.885965+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[14] ack from __kernel__ took 0 ms
2021-02-08 19:26:27.944880+0800 0xa3b      Default     0x0                  0      0    kernel: PMRD: disk_sync_callout finish
2021-02-08 19:26:27.944887+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[15] ack from __kernel__ took 59 ms
2021-02-08 19:26:27.992812+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[26] ack from com.apple.iokit.IOGraphicsFamily took 107 ms
2021-02-08 19:26:27.992817+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x13
2021-02-08 19:26:27.992827+0800 0x1d2      Default     0x0                  0      0    kernel: (AppleGFXHDA) [0x90001]PM will go to state : 2
2021-02-08 19:26:27.992839+0800 0x1d2      Default     0x0                  0      0    kernel: (IOBluetoothHostControllerTransport) **** [IOBluetoothHostControllerTransport][powerStateWillChangeTo] -- System Sleep -- SleepType is kIOPMSleepTypeNormalSleep ****
